node_id,jurisdiction,region,legal_owner,tax_owner,privacy_data_owner,employment_owner,sanctions_export_owner,ai_sector_owner,security_owner,funding_procurement_owner,professional_credentials_verified,engagement_scope,privilege_position,last_verified,next_review,activation_state,evidence_receipt
J001,Québec,Canada,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J002,Canada Federal,Canada,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J003,Ontario,Canada,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J004,British Columbia,Canada,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J005,Alberta,Canada,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J006,United States Federal,United States,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J007,California,United States,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J008,New York,United States,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J009,Texas,United States,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J010,Massachusetts,United States,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J011,Washington State,United States,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J012,Colorado,United States,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J013,Virginia,United States,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J014,EU/EEA,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J015,France,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J016,Germany,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J017,Ireland,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J018,Netherlands,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J019,Luxembourg,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J020,Finland,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J021,Sweden,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J022,Denmark,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J023,Norway,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J024,Estonia,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J025,Spain,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J026,Italy,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
J027,Poland,Europe,,,,,,,,,,,,,,BLOCKED — professional owners not appointed,
