id,jurisdiction,topic,authority,title,url,relevance,last_verified
REF-P4,Global,Design reference,GoalOS,"Legal, Rights, and Publication Center",https://montrealai.github.io/GoalOS_Public_Sovereign-Reserve-P-4/governance/LEGAL_INDEX.html,"Reference separation of terms, regulatory/no-offer, rights, privacy, security, claims, publication and exclusions.",2026-07-23
EU-AIA,EU/EEA,AI law,European Commission,AI Act regulatory framework,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,"Risk-based AI framework, roles, prohibited practices and phased application.",2026-07-23
EU-AIA-T,EU/EEA,AI transparency,European Commission,Code of Practice on Transparency of AI-Generated Content,https://digital-strategy.ec.europa.eu/en/policies/code-practice-ai-generated-content,Article 50 transparency implementation.,2026-07-23
EU-GDPR,EU/EEA,Privacy,European Union,General Data Protection Regulation,https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng,"Personal-data roles, principles, rights, transfers and accountability.",2026-07-23
CA-PIPEDA,Canada,Privacy,Justice Laws Canada,PIPEDA,https://laws-lois.justice.gc.ca/eng/acts/p-8.6/,Federal private-sector privacy and electronic documents.,2026-07-23
QC-PRIV,Québec,Privacy,Légis Québec,Private-sector personal information act,https://www.legisquebec.gouv.qc.ca/en/document/cs/p-39.1,"Québec privacy governance, PIA and accountability.",2026-07-23
QC-FRENCH,Québec,Language,Légis Québec,Charter of the French language,https://www.legisquebec.gouv.qc.ca/en/document/cs/c-11,Language localization and contract requirements.,2026-07-23
CA-COMP,Canada,Marketing,Competition Bureau Canada,Misleading representations and deceptive marketing practices,https://competition-bureau.canada.ca/en/deceptive-marketing-practices/types-deceptive-marketing-practices/misleading-representations-and-deceptive-marketing-practices,Claim substantiation and non-deception.,2026-07-23
US-CPPA,California,Privacy / ADMT,California Privacy Protection Agency,"CCPA updates, risk, cyber and ADMT regulations",https://cppa.ca.gov/regulations/ccpa_updates.html,"Risk assessments, cybersecurity audits and automated decision-making controls.",2026-07-23
US-NIST,United States,AI risk,NIST,AI Risk Management Framework,https://www.nist.gov/itl/ai-risk-management-framework,Voluntary lifecycle AI risk framework.,2026-07-23
US-NIST-G,United States,Generative AI,NIST,Generative AI Profile,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,Generative-AI risk profile.,2026-07-23
US-OFAC,United States / extraterritorial risk,Sanctions,U.S. Treasury OFAC,Framework for OFAC Compliance Commitments,https://ofac.treasury.gov/media/16331/download?inline=,"Management commitment, risk assessment, controls, testing and training.",2026-07-23
US-BIS,United States / controlled technology,Export controls,Bureau of Industry and Security,Export Compliance Programs,https://www.bis.gov/developing-an-export-compliance-program,"Export classification, authorization, screening and recordkeeping.",2026-07-23
US-FTC,United States,Consumer / claims,Federal Trade Commission,AI business guidance and enforcement,https://www.ftc.gov/industry/technology/artificial-intelligence,"Deceptive AI claims, privacy and unfair practices.",2026-07-23
SG-AGENT,Singapore,Agentic AI,IMDA,Model AI Governance Framework for Agentic AI,https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/updated-model-ai-governance-framework-for-agentic-ai,"Human accountability, technical safeguards and agent governance.",2026-07-23
UN-BHR,Global,Human rights,UN OHCHR,Guiding Principles on Business and Human Rights,https://www.ohchr.org/en/publications/reference-publications/guiding-principles-business-and-human-rights,Human-rights due diligence and remedy.,2026-07-23
EU-ACCESS,EU,Accessibility,European Commission,Web accessibility,https://digital-strategy.ec.europa.eu/en/policies/web-accessibility,Public-sector web accessibility framework.,2026-07-23
REF-P4-LOCAL,Global,Preserved legal lineage,GoalOS reference package,"Local preserved P-4 Legal, Rights and Publication Center",reference_p4/LEGAL_INDEX.html,Locally preserved legal webpage set from the user-supplied v5 archive; reference lineage and compatibility only.,2026-07-23
EU-AIA-50-G,EU/EEA,AI transparency,European Commission,Guidelines on transparency obligations for providers and deployers of AI systems,https://digital-strategy.ec.europa.eu/en/library/guidelines-transparency-obligations-providers-and-deployers-ai-systems,Official Article 50 scope and implementation guidance published 20 July 2026; transparency obligations apply from 2 August 2026.,2026-07-23
SG-AGENT-PDF,Singapore,Agentic AI,IMDA,Model AI Governance Framework for Agentic AI — official framework PDF,https://www.imda.gov.sg/-/media/imda/files/about/emerging-tech-and-research/artificial-intelligence/mgf-for-agentic-ai.pdf,"Official framework for human accountability, technical safeguards and lifecycle governance of agentic AI.",2026-07-23
