layer,control,implementation,owner,gate,residual_risk
Architecture,Browser-local processing,"No accounts, analytics or server submission in reference mode",Originator / operator,Always,LOW
Authority,No external autonomous action,"Messages, filings, purchases, contracts and system changes disabled",Operator,Always,LOW
Professional boundary,"No legal, tax, investment, medical or other professional advice",Qualified professional controls consequential interpretation,Operator / reviewer,Before reliance,MEDIUM
Financial perimeter,"No offer, custody, exchange, lending, brokerage or money movement",Separate licensed deployment required,Operator / counsel,Before any financial function,HIGH
Personal data,No sensitive data in public reference edition,"Privacy notice, roles, PIA/DPIA, retention, security and rights required",Controller / privacy owner,Before collection,HIGH
High-impact decisions,No automated authority over persons,"Human final authority, sector law, fairness, notice and contestability required",Operator / sector owner,Before use,HIGH
Sanctions/export,No evasion or restricted routing,"Risk assessment, screening, classification, licences and records",Compliance owner,Before party/technology transfer,HIGH
Claims,Evidence-status vocabulary and claim receipt,"No absolute compliance, immunity, return or funding claims",Claims owner,Before publication,MEDIUM
Rights,Limited reference licence and TDM reservation,Commercial reuse requires express permission,Rightsholder,Before redistribution,MEDIUM
Transaction,"No receipt, no execution","Legal, tax, valuation, TP, funding, screening, approval and Chronicle evidence",Board / transaction owner,Before execution,HIGH
Change control,Versioned sources and expiry,No silent mutation; affected scenarios rerun,Evidence owner,On change,MEDIUM
Mandatory law,Savings and non-immunity clause,Labels cannot alter actual conduct or bind regulators,All,Always,HIGH
