ID,Source,Publisher,Date accessed,URL,Use in package
S1,ChatGPT Work and workspace agents,OpenAI,2026-07-20,https://help.openai.com/en/articles/10128477-chatgpt-enterprise-edu-release-notes,"Long-running, multi-step work under organizational controls"
S2,The next evolution of the Agents SDK,OpenAI,2026-07-20,https://openai.com/index/the-next-evolution-of-the-agents-sdk/,"Controlled environments, tools and long-horizon agent execution"
S3,Task-Completion Time Horizons,METR,2026-07-20,https://metr.org/time-horizons/,"Frontier-agent task-horizon measurements and caveats"
S4,AlphaEvolve impact,Google DeepMind,2026-07-20,https://deepmind.google/blog/alphaevolve-impact/,"Evaluator-driven, deployed algorithmic improvements"
S5,From AGI to ASI,Google DeepMind,2026-07-20,https://deepmind.google/research/publications/239142/,"Recursive improvement and multi-agent pathways"
S6,Anthropic Institute research agenda,Anthropic,2026-07-20,https://www.anthropic.com/research/anthropic-institute-agenda,"AI-driven R&D and institutional implications"
S7,Worldwide AI spending forecast,Gartner,2026-07-20,https://www.gartner.com/en/newsroom/press-releases/2026-05-19-gartner-forecasts-worldwide-ai-spending-to-grow-47-percent-in-2026,"AI spending and infrastructure context"
S8,Sovereign AI supercomputing initiative,Government of Canada,2026-07-20,https://www.canada.ca/en/innovation-science-economic-development/news/2026/04/canada-launches-national-initiative-to-build-large-scale-ai-supercomputing-capacity.html,"Canadian strategic-compute context"
S9,Merkle Roots for the Validated Skill Graph,MONTREAL.AI,2026-07-20,https://github.com/MontrealAI/goalos-agialpha-sovereign-machine-economy/blob/main/docs/paper/Merkle_Roots_for_the_Validated_Skill_Graph_v114.pdf,"Chronicle gating, graph roots, selective verification and future influence"
S10,Private On-Chain Validated Skill Graph,MONTREAL.AI,2026-07-20,https://github.com/MontrealAI/goalos-agialpha-sovereign-machine-economy/blob/main/docs/paper/goalos_private_onchain_zk_vsg.pdf,"Direct-agent authority, private capability and proof boundary"
