title,path,collection,category,audience,pages,description,bytes,sha256,status,cover_path
Founding Charter,documents/institutional/GoalOS_Sovereign_Reserve_Omega_01_Founding_Charter_v2.pdf,Institutional,Constitution,"Board, governance",14,"Defines purpose, authority hierarchy, admission gates, rights, rollback, and the bounded mandate of Sovereign Reserve Ω.",1250621,4dba3bc7d5572419d830381113ae624da15740c10757383fe9f5aebab16def29,PUBLIC,assets/covers/01_Founding_Charter_Cover.jpg
Portfolio Constitution,documents/institutional/GoalOS_Sovereign_Reserve_Omega_02_Portfolio_Constitution_v2.pdf,Institutional,Governance,"Board, portfolio committee",16,"Governs asset classes, evidence levels, rights, safety, Mission 2 transfer, disposition, freshness, revocation, and concentration.",1233192,65d40dc1790148a51ad56eae88bcad3ec8872352f7f9ff00402bc77849fb8a90,PUBLIC,assets/covers/02_Portfolio_Constitution_Cover.jpg
Institutional Operating System,documents/institutional/GoalOS_Sovereign_Reserve_Omega_03_Institutional_Operating_System_v2.pdf,Institutional,Operations,"Executives, operators",19,"Maps the operating rooms from opportunity signals and Nova-Seeds through proof, Chronicle, value realization, and capacity allocation.",1434184,5caeeddb360a82b878ff78448cfcf1ea8efe43244339e3025c3d97b64f9a89e9,PUBLIC,assets/covers/03_Institutional_Operating_System_Cover.jpg
Governance Manual,documents/institutional/GoalOS_Sovereign_Reserve_Omega_04_Governance_Manual_v2.pdf,Institutional,Governance,"Board, operators",5,"Defines decision rights, delegation, conflicts, reserved matters, escalation, and institutional records.",588216,7f541e49c9a83b1a887d413169ca4ac8db166c9977880592ab8cb041360b0f7f,PUBLIC,assets/covers/04_Governance_Manual_Cover.jpg
Risk & Safety Framework,documents/institutional/GoalOS_Sovereign_Reserve_Omega_05_Risk_Safety_Framework_v2.pdf,Institutional,Safety,"Safety, governance",5,"Defines risk classes, prohibitions, canaries, monitoring, stop conditions, incident handling, and rollback.",592150,89f997c0c24e1a90587b1baa885adfa5d90047968f7a4353df99e6a29bd55723,PUBLIC,assets/covers/05_Risk_and_Safety_Framework_Cover.jpg
Proof & Validation Protocols,documents/institutional/GoalOS_Sovereign_Reserve_Omega_06_Proof_Validation_Protocols_v2.pdf,Institutional,Proof,"Reviewers, operators",5,"Defines proof levels, Evidence Dockets, reviewer independence, replay, dissent, and claim-state discipline.",591710,ef03a35f84436c685125b7f31edeb8befc12554aae9923ccc892b15e72c55d84,PUBLIC,assets/covers/06_Proof_and_Validation_Protocols_Cover.jpg
Technology Architecture,documents/institutional/GoalOS_Sovereign_Reserve_Omega_13_Technology_Architecture_v2.pdf,Institutional,Technology,"Engineers, operators",5,"Describes system boundaries, evidence state, Chronicle, graph roots, security, integrations, conformance, and release gates.",588791,d2e0987955e9a1f1b8f626d3eead221e9781f392e604f2ee32d101d3a1d6647d,PUBLIC,assets/covers/13_Technology_Architecture_Cover.jpg
Data & Knowledge Governance,documents/institutional/GoalOS_Sovereign_Reserve_Omega_14_Data_Knowledge_Governance_v2.pdf,Institutional,Data,"Data, privacy, research",5,"Governs provenance, purpose limitation, access, retention, transformation, evidence linkage, and controlled knowledge reuse.",594651,c7470a981468ffe0fab4759859bc9cb8232cb43ce6046a0cb801b882101448b2,PUBLIC,assets/covers/14_Data_and_Knowledge_Governance_Cover.jpg
Research & Innovation Charter,documents/institutional/GoalOS_Sovereign_Reserve_Omega_15_Research_Innovation_Charter_v2.pdf,Institutional,Research,"Researchers, reviewers",5,"Defines baseline discipline, falsification, high-novelty skepticism, reproducibility, and research-to-capability transitions.",595618,b2bfc79e256782a546889ba469061cb9435ad40fbf2ba6e0c2b1831f6d72b347,PUBLIC,assets/covers/15_Research_and_Innovation_Charter_Cover.jpg
People & Culture Charter,documents/institutional/GoalOS_Sovereign_Reserve_Omega_16_People_Culture_Charter_v2.pdf,Institutional,People,"Leaders, contributors",5,"Defines accountable roles, protected dissent, competence, wellbeing, security culture, and human decision ownership.",592764,5324b670c1e631f43f65f4a2e414c9b04a4f8f917b70792f7f19f084dc1a8bc7,PUBLIC,assets/covers/16_People_and_Culture_Charter_Cover.jpg
