ID,Publisher,Title,URL,Use
S1,OpenAI,Introducing workspace agents in ChatGPT,https://openai.com/index/introducing-workspace-agents-in-chatgpt/,Long-running workflows operating under organizational permissions.
S2,OpenAI,ChatGPT Enterprise and Edu release notes,https://help.openai.com/en/articles/10128477-chatgpt-enterprise-edu-release-notes,Finished work products across apps and files; July 2026 product context.
S3,OpenAI,API pricing,https://openai.com/api/pricing/,"Marginal model, search and tool cost context."
S4,METR,Task-Completion Time Horizons,https://metr.org/time-horizons/,Frontier agent task-horizon measurements and methodological caveats.
S5,Google DeepMind,AlphaEvolve,https://deepmind.google/blog/alphaevolve-a-gemini-powered-coding-agent-for-designing-advanced-algorithms/,Evaluator-driven generation and deployed algorithmic improvements.
S6,Gartner,Worldwide AI spending forecast for 2026,https://www.gartner.com/en/newsroom/press-releases/2026-05-19-gartner-forecasts-worldwide-ai-spending-to-grow-47-percent-in-2026,AI spending context and the pressure to prove outcomes.
S7,European Commission,Article 50 AI Act transparency obligations,https://digital-strategy.ec.europa.eu/en/faqs/transparency-obligations-under-article-50-ai-act,Compliance timing and evidence-management context.
S8,SaaS Capital,2026 B2B SaaS benchmarks,https://www.saas-capital.com/blog-posts/benchmarking-metrics-for-bootstrapped-saas-companies/,"Retention benchmarks used as reference, not as realized GoalOS results."
S9,Stripe,Payment Links,https://docs.stripe.com/payment-links,Automated one-time and recurring transaction infrastructure.
S10,MONTREAL.AI Research,Merkle Roots for the Validated Skill Graph,https://github.com/MontrealAI/goalos-agialpha-sovereign-machine-economy/blob/main/docs/paper/Merkle_Roots_for_the_Validated_Skill_Graph_v114.pdf,"Chronicle gating, root verifiability and institutional lineage."
S11,MONTREAL.AI Research,Private On-Chain Validated Skill Graph,https://github.com/MontrealAI/goalos-agialpha-sovereign-machine-economy/blob/main/docs/paper/goalos_private_onchain_zk_vsg.pdf,"Private capability, direct-agent authorization and proof boundary."
