node_id,jurisdiction,AI_law,privacy_data,cyber_incident,consumer_competition,employment_worker,sector_licensing,corporate_ownership,tax_PE_VAT,transfer_pricing,sanctions_export,foreign_investment,procurement_funding,language_accessibility,records_evidence,official_source_snapshot,local_counsel_status,last_verified,next_review,activation_state
J001,Québec,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J002,Canada Federal,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J003,Ontario,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J004,British Columbia,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J005,Alberta,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J006,United States Federal,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J007,California,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J008,New York,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J009,Texas,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J010,Massachusetts,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J011,Washington State,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J012,Colorado,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J013,Virginia,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J014,EU/EEA,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J015,France,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J016,Germany,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J017,Ireland,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J018,Netherlands,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J019,Luxembourg,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J020,Finland,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J021,Sweden,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J022,Denmark,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J023,Norway,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J024,Estonia,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J025,Spain,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J026,Italy,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J027,Poland,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J028,United Kingdom,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J029,Switzerland,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J030,United Arab Emirates,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J031,Saudi Arabia,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J032,Qatar,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J033,Bahrain,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J034,Israel,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J035,Singapore,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J036,Japan,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J037,South Korea,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J038,India,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J039,Australia,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J040,New Zealand,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J041,Hong Kong,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J042,Mainland China,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J043,Taiwan,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
